turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
17,0.161,0.31,0,4,0.0,1.0,9,0,0.5209,0.2939,-4.558,9,0
3,1.0,0.13,4,4,0.0078,0.9922,7,0,0.9311,0.8737,7.203,7,0
2,0.467,1.0,5,8,0.1043,0.8957,23,0,0.7502,0.7043,-11.696,23,0
19,0.142,1.0,1,4,0.0048,0.9952,6,0,0.6022,0.2441,-11.392,8,1
18,1.0,0.11,3,4,0.059,0.941,8,0,0.6127,0.4307,-6.897,8,0
6,0.709,0.47,4,4,0.0,1.0,9,0,1.0,1.0,12.661,9,0
24,0.0,0.41,2,0,1.0,0.0,5,1,0.9228,0.8456,-23.282,5,0
19,0.0,1.0,1,0,1.0,0.0,1,1,1.0,1.0,-13.522,1,0
1,1.0,1.0,5,8,0.0028,0.9972,22,0,0.6032,0.4789,11.434,22,0
18,0.0,0.01,3,0,1.0,0.0,0,1,0.6089,0.315,-14.763,0,0
25,1.0,0.41,1,4,0.0393,0.9607,9,0,0.9468,0.9075,-26.506,9,0
6,0.101,1.0,5,4,0.382,0.618,8,0,0.3369,0.0575,-13.427,8,0
20,1.0,1.0,0,4,0.0,1.0,8,0,0.8415,0.7153,-13.425,8,0
3,0.467,1.0,5,4,0.2421,0.7579,9,0,0.5209,0.3001,-10.995,9,0
2,0.819,1.0,5,4,0.0075,0.9925,8,0,0.9351,0.8873,-0.635,8,0
4,0.079,1.0,4,4,0.7163,0.2837,1,1,0.315,0.0156,-3.379,4,1
19,0.473,0.01,2,4,0.0663,0.9337,6,0,0.2951,0.0146,-14.292,6,0
6,0.0,1.0,5,0,1.0,0.0,1,1,0.3619,0.1015,-16.158,1,0
7,0.455,1.0,4,4,0.7433,0.2567,2,1,0.6994,0.5564,8.092,2,0
5,0.747,0.91,4,4,0.0136,0.9864,7,0,0.599,0.2925,-1.42,7,0
3,0.0,1.0,5,0,1.0,0.0,3,1,0.2994,0.0216,-13.002,1,1
20,0.473,0.88,2,1,0.2845,0.7155,6,0,0.7155,0.4652,-10.559,6,0
2,0.547,0.93,5,0,1.0,0.0,2,1,0.7027,0.5582,-0.919,2,0
7,0.876,1.0,4,4,0.0009,0.9991,8,0,0.9989,0.9986,-11.267,8,0
1,1.0,1.0,5,8,0.0104,0.9896,25,0,0.3712,0.0675,-5.479,25,0
26,1.0,1.0,1,4,0.0831,0.9169,8,0,0.3564,0.0332,-33.8,8,0
8,0.407,1.0,4,4,0.0,1.0,7,0,1.0,1.0,7.95,7,0
4,1.0,1.0,4,4,0.0005,0.9995,8,0,0.6416,0.2993,-15.88,8,0
21,0.735,0.88,0,1,0.0,1.0,8,0,1.0,1.0,-7.847,8,0
5,0.0,0.81,4,0,1.0,0.0,3,1,0.3874,0.1262,-0.399,3,0
3,1.0,0.93,5,4,0.0105,0.9895,6,0,0.4196,0.1075,-0.4,6,0
8,0.691,0.69,4,4,0.0006,0.9994,8,0,0.9992,0.9989,-11.628,8,0
2,0.828,0.72,5,4,0.0,1.0,8,0,1.0,1.0,-9.487,8,0
27,0.379,0.81,1,4,0.0273,0.9727,8,0,0.3561,0.0144,-36.97,8,0
8,0.0,0.95,4,0,1.0,0.0,5,1,0.4775,0.1956,-0.758,5,0
6,0.079,0.81,3,4,0.3737,0.6263,7,0,0.2976,0.0248,-3.344,7,0
22,0.221,0.78,0,1,0.0,1.0,8,0,1.0,1.0,-9.293,8,0
4,0.516,0.0,4,0,1.0,0.0,1,1,0.9569,0.9195,-11.01,1,0
1,1.0,1.0,5,8,0.0002,0.9998,25,0,0.4552,0.0862,-7.745,25,0
21,0.473,1.0,2,1,0.0105,0.9895,6,0,0.9895,0.9803,7.354,6,0
9,1.0,0.95,3,4,0.0,1.0,9,0,1.0,1.0,10.167,9,0
4,0.693,1.0,5,4,0.0593,0.9407,6,0,0.612,0.3689,-1.403,6,0
9,0.575,0.4,4,4,0.0003,0.9997,8,0,0.9996,0.9994,-11.291,8,0
3,0.575,0.09,5,4,0.0,1.0,8,0,1.0,1.0,-7.483,8,0
27,0.0,0.87,1,0,1.0,0.0,4,1,1.0,1.0,-34.807,4,0
6,0.0,0.71,3,0,1.0,0.0,2,1,0.5201,0.1806,0.552,5,1
22,0.041,0.57,2,1,0.3939,0.6061,6,0,0.6061,0.3464,-1.561,6,0
10,1.0,0.47,3,1,0.0619,0.9381,9,0,0.9381,0.9078,-1.287,9,0
7,1.0,0.71,2,4,0.4054,0.5946,4,1,0.3501,0.1559,-0.193,4,0
5,0.269,1.0,5,4,0.1614,0.8386,6,0,0.4107,0.0628,-1.006,6,0
28,0.113,0.87,0,4,0.0,1.0,7,0,0.578,0.3828,-36.992,7,0
