turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
19,0.557,0.75,0,1,0.0,1.0,7,0,1.0,1.0,-17.175,7,0
1,0.0,0.43,5,0,1.0,0.0,4,1,0.7327,0.5356,-6.378,4,0
14,0.0,0.76,2,0,1.0,0.0,0,1,0.8837,0.7674,-10.138,0,0
14,1.0,0.03,0,4,0.0,1.0,7,0,0.7541,0.6158,-12.838,7,0
14,0.539,1.0,2,1,0.9969,0.0031,5,1,0.9929,0.9888,-29.903,5,0
7,0.261,0.71,5,0,1.0,0.0,2,1,0.461,0.1784,-29.691,2,0
2,1.0,0.43,4,8,0.0336,0.9664,25,0,0.8446,0.754,-6.495,25,0
15,0.391,0.76,1,4,0.0,1.0,8,0,0.9837,0.9689,-13.163,8,0
1,1.0,1.0,5,8,0.0085,0.9915,22,0,0.4686,0.2058,-22.866,22,0
15,0.41,1.0,2,4,0.1827,0.8173,6,0,0.3547,0.0695,-32.618,9,1
4,0.486,1.0,5,4,0.0046,0.9954,7,0,0.8282,0.6863,-12.603,7,0
8,1.0,0.71,5,4,0.6116,0.3884,4,1,0.2699,0.0196,-31.697,4,0
15,0.0,0.76,1,0,1.0,0.0,5,1,1.0,1.0,-13.715,5,0
15,0.676,1.0,0,4,0.0,1.0,6,0,0.4375,0.1645,-21.045,6,0
2,0.068,0.56,5,4,0.0229,0.9771,8,0,0.8558,0.7786,-25.526,8,0
15,0.0,1.0,2,0,1.0,0.0,2,1,0.6754,0.3509,-32.164,2,0
9,0.763,0.71,5,4,0.0082,0.9918,6,0,0.9867,0.9814,-30.012,6,0
3,0.227,1.0,4,3,0.3536,0.6464,6,0,0.5725,0.2212,-8.418,6,0
16,0.878,0.76,0,4,0.0,1.0,8,0,0.871,0.7789,-14.376,8,0
16,0.056,0.96,0,4,0.0,1.0,6,0,0.6767,0.5293,-25.774,6,0
16,1.0,1.0,1,4,0.0026,0.9974,7,0,0.9765,0.9614,-32.353,7,0
5,0.204,1.0,5,4,0.0254,0.9746,7,0,0.5604,0.3377,-3.876,7,0
10,0.512,0.38,5,4,0.0039,0.9961,6,0,0.993,0.9905,-29.482,6,0
1,1.0,1.0,5,8,0.0745,0.9255,25,0,0.6262,0.5196,-9.524,25,0
3,0.0,1.0,4,0,1.0,0.0,2,1,0.561,0.208,-10.861,2,0
17,0.369,0.21,0,4,0.0,1.0,8,0,0.8317,0.6864,-11.92,8,0
3,0.068,1.0,5,4,0.0193,0.9807,6,0,0.595,0.2184,-23.452,7,1
17,0.867,0.91,1,4,0.0023,0.9977,7,0,0.9796,0.9677,-32.334,7,0
5,0.0,0.95,5,0,1.0,0.0,3,1,0.4029,0.0541,-2.193,3,0
11,0.244,0.04,5,4,0.0021,0.9979,6,0,0.9958,0.9941,-28.662,6,0
2,0.594,0.82,5,4,0.301,0.699,7,0,0.3115,0.0512,-6.986,7,0
4,1.0,1.0,3,4,0.0944,0.9056,6,0,0.6874,0.548,-15.038,6,0
