turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
1,1.0,1.0,5,8,0.0185,0.9815,22,0,0.7225,0.5505,-36.498,22,0
23,1.0,1.0,1,4,0.1545,0.8455,6,0,0.4335,0.1908,-32.609,6,0
9,0.866,0.48,5,4,0.0009,0.9991,6,0,0.9991,0.9982,-1.658,6,0
6,1.0,0.02,3,4,0.0,1.0,9,0,0.8805,0.7611,-27.291,9,0
3,0.797,1.0,5,4,0.7728,0.2272,2,1,0.7246,0.5379,-14.217,2,0
7,0.401,0.59,4,8,0.0892,0.9108,22,0,0.4033,0.1727,-11.456,22,0
2,0.075,0.33,5,1,0.3509,0.6491,6,0,0.6491,0.4528,-25.409,6,0
10,1.0,0.24,5,4,0.0006,0.9994,6,0,0.7305,0.466,0.187,6,0
24,0.603,0.71,1,4,0.0831,0.9169,6,0,0.5535,0.3373,-33.457,6,0
15,0.483,1.0,1,1,0.0,1.0,6,0,1.0,1.0,30.132,6,0
5,0.771,1.0,5,4,0.5872,0.4128,7,0,0.3612,0.1627,15.086,7,0
4,0.149,1.0,5,4,0.1356,0.8644,7,0,0.3578,0.1098,-12.889,7,0
7,0.0,0.33,4,0,1.0,0.0,1,1,0.4295,0.1519,-10.798,4,1
2,0.0,0.0,5,0,1.0,0.0,1,1,0.4231,0.1725,-25.793,1,0
25,0.666,0.44,1,3,0.0201,0.9799,9,0,0.6899,0.4939,-30.017,9,0
16,0.07,0.52,1,1,0.0,1.0,6,0,1.0,1.0,40.971,6,0
6,0.421,0.62,5,4,0.124,0.876,7,0,0.8458,0.7662,17.717,7,0
1,1.0,1.0,5,8,0.018,0.982,7,0,0.7593,0.537,-12.902,7,0
7,0.903,1.0,3,4,0.0688,0.9312,7,0,0.8956,0.8268,-32.925,7,0
4,0.0,1.0,5,0,1.0,0.0,3,1,0.7492,0.6149,-17.514,3,0
